original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,flip_rate,similarity,perplexity
"[[Group]] to [[Propose]] New High-Speed Wireless [[Format]]  LOS ANGELES ([[Reuters]]) - A [[group]] of technology companies  including Texas Instruments [[Inc]]. &[[lt]];TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &[[lt]];BRCM.O&gt;, on [[Thursday]] said they  will [[propose]] a new wireless networking [[standard]] up to 10 [[times]]  the [[speed]] of the current generation.","[[Pools]] to [[Projects]] New High-Speed Wireless [[Formulas]]  LOS ANGELES ([[Newsday]]) - A [[regrouped]] of technology companies  including Texas Instruments [[Ltd]]. &[[ensign]];TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &[[ensign]];BRCM.O&gt;, on [[Yesterday]] said they  will [[nominate]] a new wireless networking [[stallion]] up to 10 [[juncture]]  the [[rapidity]] of the current generation.",0.0015039443969726,0.5348551273345947,3.0,2.0,3.0,378.0,Successful,1.0,0.7100978,50.62648010253906
"Apple Launches [[Graphics]] Software, [[Video]] Bundle  LOS ANGELES ([[Reuters]]) - Apple Computer Inc.&[[lt]];AAPL.O&gt; on  Tuesday began [[shipping]] a new program [[designed]] to [[let]] users  [[create]] real-time motion [[graphics]] and [[unveiled]] a discount  video-editing software [[bundle]] [[featuring]] its flagship [[Final]] [[Cut]]  Pro software.","Apple Launches [[Charting]] Software, [[Films]] Bundle  LOS ANGELES ([[Newsday]]) - Apple Computer Inc.&[[tl]];AAPL.O&gt; on  Tuesday began [[freight]] a new program [[directed]] to [[letting]] users  [[creates]] real-time motion [[cards]] and [[reveals]] a discount  video-editing software [[parcel]] [[starring]] its flagship [[Semifinal]] [[Decrease]]  Pro software.",0.0026936531066894,0.5189704895019531,3.0,2.0,3.0,499.0,Successful,1.0,0.8968591,185.29110717773438
"[[Dutch]] Retailer [[Beats]] [[Apple]] to Local [[Download]] [[Market]]  AMSTERDAM ([[Reuters]]) - Free [[Record]] Shop, a Dutch music  retail chain, beat Apple Computer [[Inc]]. to market on [[Tuesday]]  with the launch of a [[new]] download service in Europe's latest  battleground for digital song services.","[[Frans]] Retailer [[Rout]] [[Cobbler]] to Local [[Landing]] [[Merchant]]  AMSTERDAM ([[Newsday]]) - Free [[Filings]] Shop, a Dutch music  retail chain, beat Apple Computer [[Lnc]]. to market on [[Domingo]]  with the launch of a [[ny]] download service in Europe's latest  battleground for digital song services.",0.0007685422897338,0.5757452249526978,3.0,2.0,3.0,273.0,Successful,1.0,0.5686375,253.54251098632812
"[[Super]] ant [[colony]] hits [[Australia]] A [[giant]] 100km colony of [[ants]]  which has been [[discovered]] in [[Melbourne]], Australia, could threaten [[local]] [[insect]] species.","[[Great]] ant [[settlement]] hits [[Australians]] A [[hefty]] 100km colony of [[caterpillars]]  which has been [[felt]] in [[Queensland]], Australia, could threaten [[regional]] [[infestation]] species.",0.0096454620361328,0.5417172908782959,3.0,0.0,3.0,312.0,Successful,1.0,0.8038127,190.96533203125
"[[Socialites]] unite dolphin [[groups]] Dolphin [[groups]], or ""[[pods]]"", rely on [[socialites]] to [[keep]] them from [[collapsing]], [[scientists]] [[claim]].","[[Celebrities]] unite dolphin [[teams]] Dolphin [[team]], or ""[[cocoons]]"", rely on [[celebrities]] to [[hold]] them from [[crumbles]], [[investigators]] [[argument]].",0.0327247977256774,0.6003581285476685,3.0,0.0,3.0,304.0,Successful,1.0,0.63956285,341.21942138671875
[[Teenage]] T. rex's [[monster]] [[growth]] Tyrannosaurus rex [[achieved]] its [[massive]] size due to an enormous [[growth]] spurt during its [[adolescent]] [[years]].,[[Jeune]] T. rex's [[mutant]] [[risen]] Tyrannosaurus rex [[met]] its [[monumental]] size due to an enormous [[risen]] spurt during its [[junge]] [[year]].,0.0015228390693664,0.5031968951225281,3.0,0.0,3.0,315.0,Successful,1.0,0.75821126,330.6666259765625
"Scientists [[Discover]] Ganymede [[has]] a Lumpy [[Interior]] [[Jet]] [[Propulsion]] [[Lab]] -- Scientists have discovered [[irregular]] [[lumps]] beneath the icy surface of Jupiter's largest [[moon]], Ganymede. [[These]] irregular masses may [[be]] rock formations, [[supported]] by Ganymede's icy shell for [[billions]] of [[years]]...","Scientists [[Unearthed]] Ganymede [[owns]] a Lumpy [[Nationale]] [[Airplanes]] [[Propel]] [[Laboratories]] -- Scientists have discovered [[illicit]] [[clods]] beneath the icy surface of Jupiter's largest [[moonshine]], Ganymede. [[Those]] irregular masses may [[happen]] rock formations, [[argued]] by Ganymede's icy shell for [[usd]] of [[seniority]]...",0.0003412961959838,0.7248705625534058,3.0,1.0,3.0,365.0,Successful,1.0,0.78644824,226.62765502929688
"Mars Rovers Relay Images Through Mars [[Express]] European [[Space]] [[Agency]] -- ESAs [[Mars]] Express has relayed [[pictures]] from one of NASA's [[Mars]] rovers for the first time, as part of a [[set]] of [[interplanetary]] [[networking]] demonstrations.     The [[demonstrations]] pave the way for future [[Mars]] [[missions]] to [[draw]] on [[joint]] interplanetary [[networking]] capabilities...","Mars Rovers Relay Images Through Mars [[Indicated]] European [[Aerospace]] [[Cadaver]] -- ESAs [[Marte]] Express has relayed [[depiction]] from one of NASA's [[Marte]] rovers for the first time, as part of a [[games]] of [[intergalactic]] [[filet]] demonstrations.     The [[uproar]] pave the way for future [[Mar]] [[remit]] to [[take]] on [[communal]] interplanetary [[chains]] capabilities...",0.0002081990242004,0.5129039287567139,3.0,0.0,3.0,382.0,Successful,1.0,0.7692411,262.5173645019531
"Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western [[Australia]], although whether these layered sediments are biological or chemical has spawned a spirited [[debate]]. Oxford researcher, [[Nicola]] [[McLoughlin]], [[describes]] some of the issues in [[contention]].","Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western [[O]], although whether these layered sediments are biological or chemical has spawned a spirited [[discussing]]. Oxford researcher, [[Nikolaus]] [[molloy]], [[contours]] some of the issues in [[wrangle]].",0.0005165338516235,0.5279878973960876,3.0,1.0,3.0,179.0,Successful,1.0,0.87333745,155.35154724121094
"Storage, servers bruise [[HP]] [[earnings]] update [[Earnings]] per [[share]] rise compared with a [[year]] ago, but company misses analysts' expectations by a long shot.","Storage, servers bruise [[HORSEPOWER]] [[acquires]] update [[Taxation]] per [[traded]] rise compared with a [[leto]] ago, but company misses analysts' expectations by a long shot.",0.0016301274299621,0.5493749380111694,3.0,2.0,3.0,171.0,Successful,1.0,0.7264282,526.0040283203125
"IBM to hire even more new workers By the end of the year, the computing giant [[plans]] to have its biggest headcount since 1991.","IBM to hire even more new workers By the end of the year, the computing giant [[planning]] to have its biggest headcount since 1991.",0.1198936104774475,0.6982322335243225,3.0,2.0,3.0,54.0,Successful,1.0,0.99515945,40.515445709228516
Sun's Looking Glass [[Provides]] 3D [[View]] Developers [[get]] [[early]] code for new operating [[system]] 'skin' [[still]] being [[crafted]].,Sun's Looking Glass [[Poses]] 3D [[Findings]] Developers [[acquire]] [[earliest]] code for new operating [[devices]] 'skin' [[farther]] being [[readies]].,0.00083589553833,0.5182609558105469,3.0,0.0,3.0,422.0,Successful,1.0,0.86435205,1392.0404052734375
IBM Chips May Someday Heal [[Themselves]] New technology applies electrical fuses to [[help]] identify and repair [[faults]].,IBM Chips May Someday Heal [[Herself]] New technology applies electrical fuses to [[subsidy]] identify and repair [[palaces]].,0.0020649433135986,0.8837515115737915,3.0,2.0,3.0,130.0,Successful,1.0,0.8886018,993.6744384765625
"Rivals Try to Turn Tables on Charles Schwab [[By]] MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab [[In]] MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.0003590583801269,0.840855062007904,3.0,2.0,3.0,41.0,Successful,1.0,0.9917246,40.56613540649414
[[News]]: [[Sluggish]] [[movement]] on [[power]] [[grid]] [[cyber]] [[security]] [[Industry]] [[cyber]] [[security]] [[standards]] fail to [[reach]] some of the most [[vulnerable]] [[components]] of the [[power]] [[grid]].\,[[Journalism]]: [[Lifeless]] [[transport]] on [[faculties]] [[mesh]] [[cybernetic]] [[protected]] [[Mun]] [[electronic]] [[protected]] [[uniformed]] fail to [[reaching]] some of the most [[helpless]] [[shutters]] of the [[competence]] [[grill]].\,0.0002360939979553,0.4834350347518921,3.0,3.0,3.0,468.0,Failed,0.0,0.38799012,2573.281494140625
[[Giddy]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,[[Exhilarated]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,0.2637286186218261,0.5106104612350464,1.0,0.0,1.0,50.0,Successful,1.0,0.9583399,18.384349822998047
"Tougher rules won't soften Law's game FOXBOROUGH -- [[Looking]] at his ridiculously [[developed]] [[upper]] body, with [[huge]] [[biceps]] and [[hardly]] an ounce of fat, it's easy to see why Ty [[Law]], [[arguably]] the [[best]] [[cornerback]] in football, [[chooses]] [[physical]] [[play]] over [[finesse]]. That's not to [[imply]] that he's lacking a [[finesse]] [[component]], because he can [[shut]] down his side of the [[field]] [[much]] as [[Deion]] [[Sanders]] ...","Tougher rules won't soften Law's game FOXBOROUGH -- [[Searches]] at his ridiculously [[poised]] [[supreme]] body, with [[grande]] [[muscles]] and [[scarcely]] an ounce of fat, it's easy to see why Ty [[Legislation]], [[unmistakably]] the [[upper]] [[freshman]] in football, [[election]] [[tangible]] [[sets]] over [[shrewdness]]. That's not to [[entailed]] that he's lacking a [[smoothness]] [[constituents]], because he can [[lock]] down his side of the [[sector]] [[tremendously]] as [[Javon]] [[Goodwin]] ...",8.308887481689453e-05,0.7138370275497437,1.0,2.0,1.0,648.0,Successful,1.0,0.7812568,274.9114074707031
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until [[Jason]] Varitek [[enters]] free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have [[seen]] at Triple A Pawtucket from Shoppach, though it remains [[highly]] uncertain whether he can make the adjustments at the plate ...","Shoppach doesn't appear ready to hit the next level With the weeks dwindling until [[Dustin]] Varitek [[pervades]] free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have [[levied]] at Triple A Pawtucket from Shoppach, though it remains [[immeasurably]] uncertain whether he can make the adjustments at the plate ...",0.0601570010185241,0.5207507610321045,1.0,0.0,1.0,167.0,Successful,1.0,0.9587539,32.92854690551758
"[[Mighty]] Ortiz makes [[sure]] Sox can rest easy [[Just]] [[imagine]] what David Ortiz could do on a [[good]] night's [[rest]]. Ortiz spent the night before [[last]] with his baby boy, D'Angelo, who is [[barely]] 1 month old. He had planned on [[attending]] the Red Sox' [[Family]] [[Day]] at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","[[Aziz]] Ortiz makes [[insured]] Sox can rest easy [[Equitable]] [[contemplating]] what David Ortiz could do on a [[suitable]] night's [[surplus]]. Ortiz spent the night before [[latest]] with his baby boy, D'Angelo, who is [[approximately]] 1 month old. He had planned on [[contributing]] the Red Sox' [[Home]] [[Nowadays]] at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",8.71419906616211e-05,0.531908392906189,1.0,2.0,1.0,337.0,Successful,1.0,0.73466957,105.30564880371094
"They've [[caught]] his [[eye]] [[In]]  quot;[[helping]] themselves, quot; Ricky [[Bryant]], Chas Gessner, [[Michael]] [[Jennings]], and David Patten [[did]] nothing [[Friday]] [[night]] to [[make]] [[Bill]] Belichick's [[decision]] on what to [[do]] with his [[receivers]] any easier.","They've [[arrests]] his [[eyelids]] [[At]]  quot;[[apu]] themselves, quot; Ricky [[Terrell]], Chas Gessner, [[Michele]] [[Donovan]], and David Patten [[were]] nothing [[Sunday]] [[dark]] to [[makes]] [[Billing]] Belichick's [[verdicts]] on what to [[done]] with his [[addressee]] any easier.",5.888938903808594e-05,0.0001948475837707,1.0,1.0,1.0,449.0,Failed,0.0,0.67376363,593.2471313476562
"[[Indians]] Mount [[Charge]] The [[Cleveland]] [[Indians]] [[pulled]] within one game of the AL [[Central]] [[lead]] by [[beating]] the [[Minnesota]] Twins, 7-1, [[Saturday]] night with home [[runs]] by Travis Hafner and Victor [[Martinez]].","[[Natives]] Mount [[Expense]] The [[Cardinals]] [[Indio]] [[pull]] within one game of the AL [[Powerhouse]] [[guided]] by [[thumping]] the [[Nebraska]] Twins, 7-1, [[Monday]] night with home [[run]] by Travis Hafner and Victor [[Velasquez]].",0.0002583861351013,0.034192144870758,1.0,1.0,1.0,609.0,Failed,0.0,0.5982766,205.39198303222656
[[Sister]] of [[man]] who [[died]] in Vancouver police [[custody]] [[slams]] [[chief]] (Canadian [[Press]]) Canadian [[Press]] - [[VANCOUVER]] ([[CP]]) - The [[sister]] of a [[man]] who [[died]] after a [[violent]] [[confrontation]] with [[police]] [[has]] [[demanded]] the city's [[chief]] constable [[resign]] for [[defending]] the [[officer]] [[involved]].,[[Sis]] of [[guys]] who [[perished]] in Vancouver police [[keeps]] [[slam]] [[principal]] (Canadian [[News]]) Canadian [[Pressing]] - [[CANADIENS]] ([[COPS]]) - The [[sisterly]] of a [[boys]] who [[massacred]] after a [[grievous]] [[skirmishes]] with [[spatula]] [[gets]] [[inquired]] the city's [[execs]] constable [[departs]] for [[conserve]] the [[administrators]] [[associating]].,0.0003923773765563,0.749697744846344,0.0,3.0,0.0,889.0,Successful,1.0,0.6431634,514.8381958007812
"Man Sought  #36;50M From McGreevey, Aides Say (AP) [[AP]] - The man who claims [[Gov]]. James [[E]]. McGreevey sexually harassed him was [[pushing]] for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","Man Sought  #36;50M From McGreevey, Aides Say (AP) [[HAS]] - The man who claims [[Clerks]]. James [[f]]. McGreevey sexually harassed him was [[nudging]] for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0.0005978345870971,0.8275691270828247,0.0,2.0,0.0,98.0,Successful,1.0,0.9210225,68.73319244384766
"[[Explosions]] [[Echo]] [[Throughout]] [[Najaf]] [[NAJAF]], [[Iraq]] - [[Explosions]] and [[gunfire]] [[rattled]] through the [[city]] of Najaf as [[U]].[[S]]. [[troops]] in [[armored]] [[vehicles]] and [[tanks]] [[rolled]] back into the [[streets]] here [[Sunday]], a [[day]] after the [[collapse]] of [[talks]] - and with them a [[temporary]] cease-fire - [[intended]] to [[end]] the [[fighting]] in this [[holy]] [[city]]...","[[Eruptions]] [[Eco]] [[From]] [[Fallujah]] [[IRAQIS]], [[Afghanis]] - [[Bombers]] and [[filming]] [[kicked]] through the [[downtown]] of Najaf as [[ryu]].[[r]]. [[troupe]] in [[shielded]] [[vehicular]] and [[storehouse]] [[intruded]] back into the [[driveways]] here [[Tuesday]], a [[today]] after the [[fall]] of [[negotiator]] - and with them a [[temp]] cease-fire - [[envisioned]] to [[cease]] the [[wrestling]] in this [[sant]] [[mayor]]...",0.0002196431159973,0.4502347707748413,0.0,0.0,0.0,802.0,Failed,0.0,0.57640016,575.0170288085938
"Frail [[Pope]] Celebrates Mass at Lourdes LOURDES, [[France]] - A [[frail]] Pope [[John]] [[Paul]] [[II]], [[breathing]] [[heavily]] and [[gasping]] at [[times]], [[celebrated]] an open-air [[Mass]] on [[Sunday]] for [[several]] hundred thousand [[pilgrims]], [[many]] in [[wheelchairs]], at a [[shrine]] to the [[Virgin]] [[Mary]] that is [[associated]] with [[miraculous]] [[cures]].    At one [[point]] he [[said]] ""[[help]] me"" in [[Polish]] while [[struggling]] through his [[homily]] in [[French]]...","Frail [[Pops]] Celebrates Mass at Lourdes LOURDES, [[Francy]] - A [[insufficient]] Pope [[Joanne]] [[Paolo]] [[SECONDLY]], [[sigh]] [[fundamentally]] and [[wriggling]] at [[seasons]], [[famed]] an open-air [[Massachusetts]] on [[Nr]] for [[different]] hundred thousand [[basking]], [[miscellaneous]] in [[chairmen]], at a [[shrines]] to the [[Blank]] [[Marries]] that is [[relating]] with [[magic]] [[remedy]].    At one [[subjects]] he [[stated]] ""[[contributions]] me"" in [[Warsaw]] while [[battaglia]] through his [[papal]] in [[Parisian]]...",0.0002073645591735,0.572431206703186,0.0,1.0,0.0,777.0,Successful,1.0,0.7641989,671.4534301757812
Venezuela Prepares for Chavez Recall [[Vote]] Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,Venezuela Prepares for Chavez Recall [[Election]] Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,0.1836197972297668,0.6837909817695618,0.0,2.0,0.0,43.0,Successful,1.0,0.9866581,72.79826354980469
1994 [[Law]] Designed to Preserve Guard Jobs ([[AP]]) [[AP]] - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).,1994 [[Billing]] Designed to Preserve Guard Jobs ([[PA]]) [[HAS]] - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).,0.000745952129364,0.7536539435386658,0.0,2.0,0.0,86.0,Successful,1.0,0.777033,29.88405990600586
