"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Dutch]] Retailer [[Beats]] [[Apple]] to Local [[Download]] [[Market]]  AMSTERDAM ([[Reuters]]) - Free [[Record]] Shop, a Dutch music  retail chain, beat Apple Computer [[Inc]]. to market on [[Tuesday]]  with the launch of a [[new]] download service in Europe's latest  battleground for digital song services.","[[Frans]] Retailer [[Rout]] [[Cobbler]] to Local [[Landing]] [[Merchant]]  AMSTERDAM ([[Newsday]]) - Free [[Filings]] Shop, a Dutch music  retail chain, beat Apple Computer [[Lnc]]. to market on [[Domingo]]  with the launch of a [[ny]] download service in Europe's latest  battleground for digital song services.",0.0007685422897338867,0.5757452249526978,3,2,3,273,"Successful"
"[[Super]] ant [[colony]] hits [[Australia]] A [[giant]] 100km colony of [[ants]]  which has been [[discovered]] in [[Melbourne]], Australia, could threaten [[local]] [[insect]] species.","[[Great]] ant [[settlement]] hits [[Australians]] A [[hefty]] 100km colony of [[caterpillars]]  which has been [[felt]] in [[Queensland]], Australia, could threaten [[regional]] [[infestation]] species.",0.009645462036132812,0.5417172908782959,3,0,3,312,"Successful"
"[[Socialites]] unite dolphin [[groups]] Dolphin [[groups]], or ""[[pods]]"", rely on [[socialites]] to [[keep]] them from [[collapsing]], [[scientists]] [[claim]].","[[Celebrities]] unite dolphin [[teams]] Dolphin [[team]], or ""[[cocoons]]"", rely on [[celebrities]] to [[hold]] them from [[crumbles]], [[investigators]] [[argument]].",0.03272479772567749,0.6003581285476685,3,0,3,304,"Successful"
"[[Teenage]] T. rex's [[monster]] [[growth]] Tyrannosaurus rex [[achieved]] its [[massive]] size due to an enormous [[growth]] spurt during its [[adolescent]] [[years]].","[[Jeune]] T. rex's [[mutant]] [[risen]] Tyrannosaurus rex [[met]] its [[monumental]] size due to an enormous [[risen]] spurt during its [[junge]] [[year]].",0.001522839069366455,0.5031968951225281,3,0,3,315,"Successful"
"Scientists [[Discover]] Ganymede [[has]] a Lumpy [[Interior]] [[Jet]] [[Propulsion]] [[Lab]] -- Scientists have discovered [[irregular]] [[lumps]] beneath the icy surface of Jupiter's largest [[moon]], Ganymede. [[These]] irregular masses may [[be]] rock formations, [[supported]] by Ganymede's icy shell for [[billions]] of [[years]]...","Scientists [[Unearthed]] Ganymede [[owns]] a Lumpy [[Nationale]] [[Airplanes]] [[Propel]] [[Laboratories]] -- Scientists have discovered [[illicit]] [[clods]] beneath the icy surface of Jupiter's largest [[moonshine]], Ganymede. [[Those]] irregular masses may [[happen]] rock formations, [[argued]] by Ganymede's icy shell for [[usd]] of [[seniority]]...",0.0003412961959838867,0.7248705625534058,3,1,3,365,"Successful"
"Mars Rovers Relay Images Through Mars [[Express]] European [[Space]] [[Agency]] -- ESAs [[Mars]] Express has relayed [[pictures]] from one of NASA's [[Mars]] rovers for the first time, as part of a [[set]] of [[interplanetary]] [[networking]] demonstrations.     The [[demonstrations]] pave the way for future [[Mars]] [[missions]] to [[draw]] on [[joint]] interplanetary [[networking]] capabilities...","Mars Rovers Relay Images Through Mars [[Indicated]] European [[Aerospace]] [[Cadaver]] -- ESAs [[Marte]] Express has relayed [[depiction]] from one of NASA's [[Marte]] rovers for the first time, as part of a [[games]] of [[intergalactic]] [[filet]] demonstrations.     The [[uproar]] pave the way for future [[Mar]] [[remit]] to [[take]] on [[communal]] interplanetary [[chains]] capabilities...",0.00020819902420043945,0.5129039287567139,3,0,3,382,"Successful"
"Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western [[Australia]], although whether these layered sediments are biological or chemical has spawned a spirited [[debate]]. Oxford researcher, [[Nicola]] [[McLoughlin]], [[describes]] some of the issues in [[contention]].","Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western [[O]], although whether these layered sediments are biological or chemical has spawned a spirited [[discussing]]. Oxford researcher, [[Nikolaus]] [[molloy]], [[contours]] some of the issues in [[wrangle]].",0.0005165338516235352,0.5279878973960876,3,1,3,179,"Successful"
"Storage, servers bruise [[HP]] [[earnings]] update [[Earnings]] per [[share]] rise compared with a [[year]] ago, but company misses analysts' expectations by a long shot.","Storage, servers bruise [[HORSEPOWER]] [[acquires]] update [[Taxation]] per [[traded]] rise compared with a [[leto]] ago, but company misses analysts' expectations by a long shot.",0.0016301274299621582,0.5493749380111694,3,2,3,171,"Successful"
"IBM to hire even more new workers By the end of the year, the computing giant [[plans]] to have its biggest headcount since 1991.","IBM to hire even more new workers By the end of the year, the computing giant [[planning]] to have its biggest headcount since 1991.",0.11989361047744751,0.6982322335243225,3,2,3,54,"Successful"
"Sun's Looking Glass [[Provides]] 3D [[View]] Developers [[get]] [[early]] code for new operating [[system]] 'skin' [[still]] being [[crafted]].","Sun's Looking Glass [[Poses]] 3D [[Findings]] Developers [[acquire]] [[earliest]] code for new operating [[devices]] 'skin' [[farther]] being [[readies]].",0.0008358955383300781,0.5182609558105469,3,0,3,422,"Successful"
"IBM Chips May Someday Heal [[Themselves]] New technology applies electrical fuses to [[help]] identify and repair [[faults]].","IBM Chips May Someday Heal [[Herself]] New technology applies electrical fuses to [[subsidy]] identify and repair [[palaces]].",0.002064943313598633,0.8837515115737915,3,2,3,130,"Successful"
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0.9707434773445129,0.9707434773445129,2,2,3,1,"Skipped"
"Rivals Try to Turn Tables on Charles Schwab [[By]] MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab [[In]] MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.0003590583801269531,0.840855062007904,3,2,3,41,"Successful"
"[[News]]: [[Sluggish]] [[movement]] on [[power]] [[grid]] [[cyber]] [[security]] [[Industry]] [[cyber]] [[security]] [[standards]] fail to [[reach]] some of the most [[vulnerable]] [[components]] of the [[power]] [[grid]].\","[[Journalism]]: [[Lifeless]] [[transport]] on [[faculties]] [[mesh]] [[cybernetic]] [[protected]] [[Mun]] [[electronic]] [[protected]] [[uniformed]] fail to [[reaching]] some of the most [[helpless]] [[shutters]] of the [[competence]] [[grill]].\",0.00023609399795532227,0.4834350347518921,3,3,3,468,"Failed"
"[[Giddy]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.","[[Exhilarated]] Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.",0.26372861862182617,0.5106104612350464,1,0,1,50,"Successful"
"Tougher rules won't soften Law's game FOXBOROUGH -- [[Looking]] at his ridiculously [[developed]] [[upper]] body, with [[huge]] [[biceps]] and [[hardly]] an ounce of fat, it's easy to see why Ty [[Law]], [[arguably]] the [[best]] [[cornerback]] in football, [[chooses]] [[physical]] [[play]] over [[finesse]]. That's not to [[imply]] that he's lacking a [[finesse]] [[component]], because he can [[shut]] down his side of the [[field]] [[much]] as [[Deion]] [[Sanders]] ...","Tougher rules won't soften Law's game FOXBOROUGH -- [[Searches]] at his ridiculously [[poised]] [[supreme]] body, with [[grande]] [[muscles]] and [[scarcely]] an ounce of fat, it's easy to see why Ty [[Legislation]], [[unmistakably]] the [[upper]] [[freshman]] in football, [[election]] [[tangible]] [[sets]] over [[shrewdness]]. That's not to [[entailed]] that he's lacking a [[smoothness]] [[constituents]], because he can [[lock]] down his side of the [[sector]] [[tremendously]] as [[Javon]] [[Goodwin]] ...",8.308887481689453e-05,0.7138370275497437,1,2,1,648,"Successful"
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until [[Jason]] Varitek [[enters]] free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have [[seen]] at Triple A Pawtucket from Shoppach, though it remains [[highly]] uncertain whether he can make the adjustments at the plate ...","Shoppach doesn't appear ready to hit the next level With the weeks dwindling until [[Dustin]] Varitek [[pervades]] free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have [[levied]] at Triple A Pawtucket from Shoppach, though it remains [[immeasurably]] uncertain whether he can make the adjustments at the plate ...",0.06015700101852417,0.5207507610321045,1,0,1,167,"Successful"
"[[Mighty]] Ortiz makes [[sure]] Sox can rest easy [[Just]] [[imagine]] what David Ortiz could do on a [[good]] night's [[rest]]. Ortiz spent the night before [[last]] with his baby boy, D'Angelo, who is [[barely]] 1 month old. He had planned on [[attending]] the Red Sox' [[Family]] [[Day]] at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","[[Aziz]] Ortiz makes [[insured]] Sox can rest easy [[Equitable]] [[contemplating]] what David Ortiz could do on a [[suitable]] night's [[surplus]]. Ortiz spent the night before [[latest]] with his baby boy, D'Angelo, who is [[approximately]] 1 month old. He had planned on [[contributing]] the Red Sox' [[Home]] [[Nowadays]] at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",8.71419906616211e-05,0.531908392906189,1,2,1,337,"Successful"
"They've [[caught]] his [[eye]] [[In]]  quot;[[helping]] themselves, quot; Ricky [[Bryant]], Chas Gessner, [[Michael]] [[Jennings]], and David Patten [[did]] nothing [[Friday]] [[night]] to [[make]] [[Bill]] Belichick's [[decision]] on what to [[do]] with his [[receivers]] any easier.","They've [[arrests]] his [[eyelids]] [[At]]  quot;[[apu]] themselves, quot; Ricky [[Terrell]], Chas Gessner, [[Michele]] [[Donovan]], and David Patten [[were]] nothing [[Sunday]] [[dark]] to [[makes]] [[Billing]] Belichick's [[verdicts]] on what to [[done]] with his [[addressee]] any easier.",5.888938903808594e-05,0.00019484758377075195,1,1,1,449,"Failed"
"[[Indians]] Mount [[Charge]] The [[Cleveland]] [[Indians]] [[pulled]] within one game of the AL [[Central]] [[lead]] by [[beating]] the [[Minnesota]] Twins, 7-1, [[Saturday]] night with home [[runs]] by Travis Hafner and Victor [[Martinez]].","[[Natives]] Mount [[Expense]] The [[Cardinals]] [[Indio]] [[pull]] within one game of the AL [[Powerhouse]] [[guided]] by [[thumping]] the [[Nebraska]] Twins, 7-1, [[Monday]] night with home [[run]] by Travis Hafner and Victor [[Velasquez]].",0.00025838613510131836,0.03419214487075806,1,1,1,609,"Failed"
"[[Sister]] of [[man]] who [[died]] in Vancouver police [[custody]] [[slams]] [[chief]] (Canadian [[Press]]) Canadian [[Press]] - [[VANCOUVER]] ([[CP]]) - The [[sister]] of a [[man]] who [[died]] after a [[violent]] [[confrontation]] with [[police]] [[has]] [[demanded]] the city's [[chief]] constable [[resign]] for [[defending]] the [[officer]] [[involved]].","[[Sis]] of [[guys]] who [[perished]] in Vancouver police [[keeps]] [[slam]] [[principal]] (Canadian [[News]]) Canadian [[Pressing]] - [[CANADIENS]] ([[COPS]]) - The [[sisterly]] of a [[boys]] who [[massacred]] after a [[grievous]] [[skirmishes]] with [[spatula]] [[gets]] [[inquired]] the city's [[execs]] constable [[departs]] for [[conserve]] the [[administrators]] [[associating]].",0.0003923773765563965,0.749697744846344,0,3,0,889,"Successful"
"Man Sought  #36;50M From McGreevey, Aides Say (AP) [[AP]] - The man who claims [[Gov]]. James [[E]]. McGreevey sexually harassed him was [[pushing]] for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","Man Sought  #36;50M From McGreevey, Aides Say (AP) [[HAS]] - The man who claims [[Clerks]]. James [[f]]. McGreevey sexually harassed him was [[nudging]] for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0.000597834587097168,0.8275691270828247,0,2,0,98,"Successful"
"[[Explosions]] [[Echo]] [[Throughout]] [[Najaf]] [[NAJAF]], [[Iraq]] - [[Explosions]] and [[gunfire]] [[rattled]] through the [[city]] of Najaf as [[U]].[[S]]. [[troops]] in [[armored]] [[vehicles]] and [[tanks]] [[rolled]] back into the [[streets]] here [[Sunday]], a [[day]] after the [[collapse]] of [[talks]] - and with them a [[temporary]] cease-fire - [[intended]] to [[end]] the [[fighting]] in this [[holy]] [[city]]...","[[Eruptions]] [[Eco]] [[From]] [[Fallujah]] [[IRAQIS]], [[Afghanis]] - [[Bombers]] and [[filming]] [[kicked]] through the [[downtown]] of Najaf as [[ryu]].[[r]]. [[troupe]] in [[shielded]] [[vehicular]] and [[storehouse]] [[intruded]] back into the [[driveways]] here [[Tuesday]], a [[today]] after the [[fall]] of [[negotiator]] - and with them a [[temp]] cease-fire - [[envisioned]] to [[cease]] the [[wrestling]] in this [[sant]] [[mayor]]...",0.00021964311599731445,0.4502347707748413,0,0,0,802,"Failed"
"Frail [[Pope]] Celebrates Mass at Lourdes LOURDES, [[France]] - A [[frail]] Pope [[John]] [[Paul]] [[II]], [[breathing]] [[heavily]] and [[gasping]] at [[times]], [[celebrated]] an open-air [[Mass]] on [[Sunday]] for [[several]] hundred thousand [[pilgrims]], [[many]] in [[wheelchairs]], at a [[shrine]] to the [[Virgin]] [[Mary]] that is [[associated]] with [[miraculous]] [[cures]].    At one [[point]] he [[said]] ""[[help]] me"" in [[Polish]] while [[struggling]] through his [[homily]] in [[French]]...","Frail [[Pops]] Celebrates Mass at Lourdes LOURDES, [[Francy]] - A [[insufficient]] Pope [[Joanne]] [[Paolo]] [[SECONDLY]], [[sigh]] [[fundamentally]] and [[wriggling]] at [[seasons]], [[famed]] an open-air [[Massachusetts]] on [[Nr]] for [[different]] hundred thousand [[basking]], [[miscellaneous]] in [[chairmen]], at a [[shrines]] to the [[Blank]] [[Marries]] that is [[relating]] with [[magic]] [[remedy]].    At one [[subjects]] he [[stated]] ""[[contributions]] me"" in [[Warsaw]] while [[battaglia]] through his [[papal]] in [[Parisian]]...",0.00020736455917358398,0.572431206703186,0,1,0,777,"Successful"
"Venezuela Prepares for Chavez Recall [[Vote]] Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.","Venezuela Prepares for Chavez Recall [[Election]] Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.",0.18361979722976685,0.6837909817695618,0,2,0,43,"Successful"
"1994 [[Law]] Designed to Preserve Guard Jobs ([[AP]]) [[AP]] - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).","1994 [[Billing]] Designed to Preserve Guard Jobs ([[PA]]) [[HAS]] - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).",0.0007459521293640137,0.7536539435386658,0,2,0,86,"Successful"
"[[Iran]] [[Warns]] Its [[Missiles]] [[Can]] [[Hit]] Anywhere in [[Israel]]  [[TEHRAN]] ([[Reuters]]) - A [[senior]] [[Iranian]] military [[official]] said  Sunday [[Israel]] and the [[United]] [[States]] would not [[dare]] [[attack]] [[Iran]]  [[since]] it could [[strike]] back anywhere in Israel with its [[latest]]  [[missiles]], [[news]] [[agencies]] [[reported]].","[[Muslim]] [[Apprised]] Its [[Detonating]] [[Ca]] [[Assailed]] Anywhere in [[Yehuda]]  [[TEHERAN]] ([[Newsday]]) - A [[alumni]] [[Teheran]] military [[officials]] said  Sunday [[Jews]] and the [[Estados]] [[State]] would not [[audacity]] [[aggressiveness]] [[Farsi]]  [[afterward]] it could [[homers]] back anywhere in Israel with its [[yesteryear]]  [[blast]], [[beginner]] [[organisms]] [[alluded]].",0.00025516748428344727,0.5368411540985107,0,3,0,672,"Successful"
"Afghan Army [[Dispatched]] to [[Calm]] [[Violence]] [[KABUL]], [[Afghanistan]] - [[Government]] troops [[intervened]] in Afghanistan's [[latest]] [[outbreak]] of [[deadly]] [[fighting]] between [[warlords]], [[flying]] from the [[capital]] to the [[far]] [[west]] on U.[[S]]. and NATO airplanes to retake an [[air]] [[base]] [[contested]] in the [[violence]], officials [[said]] [[Sunday]]...","Afghan Army [[Mailing]] to [[Serena]] [[Bullying]] [[AFGHANIS]], [[Taliban]] - [[Administration]] troops [[intruding]] in Afghanistan's [[recent]] [[outburst]] of [[died]] [[wrestling]] between [[noblemen]], [[vol]] from the [[investing]] to the [[infinitely]] [[sai]] on U.[[seconds]]. and NATO airplanes to retake an [[weather]] [[database]] [[competitions]] in the [[brute]], officials [[pointed]] [[Tonight]]...",0.0002078413963317871,0.5648093223571777,0,1,0,703,"Successful"
